file_id;model_name;sdr;emb_mse_mert_df;DMOS;singmos;emb_mse_music2latent_df
fileid_16;sgmsvs;4.47091069685886;0.1333;3.3333333333333335;2.9202051162719727;0.2598
fileid_43;sgmsvs;12.192947419858648;0.1359;3.4166666666666665;3.4113075733184814;0.2712
fileid_0;melroformer_small;20.4366842794842;0.03818;3.75;3.338318109512329;0.05783
fileid_33;sgmsvs;10.898157416759982;0.06476;3.5833333333333335;3.5677547454833984;0.10376
fileid_6;melroformer_small;1.9938335953100752;0.1876;1.1666666666666667;2.9457969665527344;811
fileid_8;melroformer_large;9.080234468240022;0.10333;2.75;2.6460728645324707;0.2593
fileid_42;htdemucs;8.43918767926768;0.1087;3.3333333333333335;3.764351129531861;0.1749
fileid_37;htdemucs;3.4666441410134468;0.1417;1.3333333333333333;3.695516586303711;0.4038
fileid_6;melroformer_large;5.382896672908437;0.1266;1.4166666666666667;3.0456185340881348;0.4412
fileid_42;melroformer_bigvgan;-11.385579192489407;0.10077;4.583333333333333;3.667170524597168;0.3516
fileid_26;melroformer_bigvgan;-9.81798978901512;0.0672;4.0;4.395145416259766;0.3552
fileid_45;htdemucs;-28.744898006679737;0.2727;1.5;2.71268367767334;1.091
fileid_32;melroformer_small;5.230395257587126;0.09503;2.8333333333333335;3.210855722427368;0.1621
fileid_26;sgmsvs;14.82498402973637;0.05545;4.083333333333333;4.501762390136719;0.07794
fileid_19;melroformer_small;12.022586750709635;0.0753;2.3333333333333335;4.018895626068115;0.1774
fileid_9;melroformer_bigvgan;-7.554305601918231;0.1559;2.25;3.0359585285186768;694
fileid_43;htdemucs;12.834131990246949;0.1729;2.0;3.1827852725982666;0.3252
fileid_11;melroformer_small;6.608769449281233;0.1727;2.3333333333333335;3.1173603534698486;0.6567
fileid_45;melroformer_small;4.221740674045206;0.1667;1.6666666666666667;2.1890194416046143;0.3738
fileid_11;melroformer_large;8.226545273938008;0.1389;2.75;3.84533953666687;0.3896
fileid_20;sgmsvs;9.082569617822717;0.08984;2.5833333333333335;3.811565399169922;374
fileid_33;melroformer_large;15.180407431089476;67;3.9166666666666665;3.834173440933227;0.0905
fileid_2;melroformer_small;13.66624724793214;0.0869;3.5833333333333335;3.9776787757873535;0.2065
fileid_28;melroformer_bigvgan;-9.552385023903083;0.2098;1.8333333333333333;2.7983782291412354;0.3704
fileid_3;melroformer_bigvgan;-8.115007672679816;0.0587;4.166666666666667;2.8547520637512207;518
fileid_32;htdemucs;6.560094879618438;0.1088;2.4166666666666665;3.046619415283203;0.1964
fileid_10;htdemucs;16.436387223831026;0.03104;2.75;4.290417194366455;0.09564
fileid_31;melroformer_small;10.78187820286881;0.06287;2.75;4.027840614318848;0.1034
fileid_1;melroformer_bigvgan;-13.20249114322893;102;4.166666666666667;3.416114091873169;0.3835
fileid_25;melroformer_large;19.88606950513097;0.0705;4.083333333333333;4.588963031768799;69
fileid_27;sgmsvs;-40.23479314790461;0.2454;1.0;2.076589345932007;724
fileid_14;sgmsvs;2.0111720774582698;0.1404;1.5833333333333333;3.3614752292633057;0.5107
fileid_34;melroformer_large;16.924911663021877;0.04794;3.6666666666666665;4.0076069831848145;0.1266
fileid_38;melroformer_bigvgan;-10.624907554656824;0.1714;2.1666666666666665;3.181201696395874;341
fileid_14;melroformer_small;5.4516754478082845;103;2.1666666666666665;3.5462567806243896;0.2166
fileid_14;melroformer_large;7.019081455090376;0.08124;2.8333333333333335;3.480675458908081;0.1914
fileid_5;melroformer_small;11.469981691407115;0.0928;2.9166666666666665;4.099573612213135;0.2251
fileid_18;melroformer_small;9.32901371821314;0.09937;2.5;3.180220127105713;0.3374
fileid_38;htdemucs;5.924042893218054;0.1898;1.4166666666666667;3.2068018913269043;0.3435
fileid_46;sgmsvs;12.482751357879572;0.1222;3.5;4.101346492767334;0.2211
fileid_48;melroformer_large;7.507554070268871;0.07056;3.3333333333333335;2.9549219608306885;0.2499
fileid_21;htdemucs;13.118279777455736;0.0964;2.9166666666666665;3.516139268875122;275
fileid_44;sgmsvs;13.543986430874815;0.04547;4.166666666666667;2.59067440032959;0.1433
fileid_2;melroformer_large;16.54086910698051;0.06003;3.5833333333333335;4.331725597381592;0.1501
fileid_35;sgmsvs;9.246762019771404;0.06305;3.9166666666666665;3.1796910762786865;0.1775
fileid_26;melroformer_large;21.775695336455417;0.02925;4.916666666666667;4.629703521728516;0.0446
fileid_29;sgmsvs;6.271171162034185;0.1382;1.6666666666666667;3.5178213119506836;474
fileid_5;htdemucs;10.504507273216566;0.1086;2.4166666666666665;4.0072479248046875;0.2327
fileid_41;melroformer_large;10.16010440463721;0.1094;2.3333333333333335;3.449483871459961;0.3174
fileid_39;sgmsvs;10.899671317295974;0.05478;4.416666666666667;3.7050371170043945;0.10986
fileid_49;sgmsvs;10.35010581469187;0.0817;3.6666666666666665;3.3829128742218018;0.3716
fileid_17;melroformer_large;22.682847919000253;0.05182;4.0;4.0654144287109375;0.1155
fileid_6;melroformer_bigvgan;-10.432087262549857;0.1818;1.5833333333333333;3.018190383911133;819
fileid_48;htdemucs;3.649329604498941;0.1346;1.4166666666666667;2.913025140762329;0.4995
fileid_4;htdemucs;9.087345738209848;0.09906;1.8333333333333333;3.938244104385376;0.3618
fileid_13;sgmsvs;8.974440061375262;0.0637;3.5833333333333335;4.213154315948486;0.1617
